code;nom;province;region;adresse;latitude;longitude;type_resultat;a_verifier
E04;PC Saint-Hubert;Luxembourg;Wallonie;Avenue des Chasseurs Ardennais, 7 - 6870 Saint-Hubert;50.0271052;5.3703803;/secondary;oui
E08;PC Val D'Attert;Luxembourg;Wallonie;Voie de la Liberté, 115 - 6717 Attert;49.7591957;5.7752702;/trunk_link;oui
E06;Royal PC Aubange;Luxembourg;Wallonie;Rue du Stade - 6790 Aubange;49.5636880;5.8004732;/unclassified;oui
D08;ASBL Petanque Beauraing;Namur;Wallonie;rue Lieutenant Tholomé, 23 Bte 35 - 5570 Baronville (Beauraing);;;;oui
D18;La Fanny Nismoise;Namur;Wallonie;Parc communal - 5670 Nismes;50.0752309;4.5499914;/service;oui
D09;La Petanque Belgradoise;Namur;Wallonie;rue des Tautis, 1 - 5020 Belgrade;50.4711229;4.8251365;/school;oui
D06;Le Cochonnet Mosan;Namur;Wallonie;Avenue des Combattants - 5500 Dinant;50.2542751;4.9130451;/primary;oui
D04;New PC Velainois;Namur;Wallonie;rue Jules Destrée, 19 - 5060 Velaine-Sur-Sambre;50.4702875;4.6080785;/yes;
D07;PC Les Crayas;Namur;Wallonie;Parc communal de Nismes , 1 - 5670 Nismes (Eté) - rue de la Gare, 101 - 5670 Treignes (Hiver);;;;oui
D05;Petanque Club Tamines Sambre;Namur;Wallonie;rue de l'Ecluse, 1/A - 5060 Tamines (Sambreville);50.4325636;4.5915161;/public;oui
D02;Royal Petanque Club Saint-Servais;Namur;Wallonie;Rue du Beau-Vallon, 162 - 5002 Saint-Servais;50.4755080;4.8404752;/yes;
D03;Royal Pitchoun Petanque Club ASBL;Namur;Wallonie;rue Baivy, 26/28 - 5100 Jambes;50.4561234;4.8765518;/yes;
